fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
5899,29392,3,True,1,False,1,23,1.5438,0.0331,1.2439,1.5221,1,0,True,1,0,37,,,5.2838,0.7524
5900,29396,3,False,1,False,1,24,1.5497,0.0331,1.2512,5.8137,2,78,False,2,501,1050,,,38.8317,30.0066
5901,29400,3,False,1,False,1,54,1.0946,0.0,0.8811,6.7568,2,66,False,2,501,1093,,,38.7766,30.013
5902,29403,4,False,1,False,1,34,4.2751,0.0,4.0015,6.1543,2,76,False,2,509,1060,,,44.4842,30.0083
5903,29406,3,False,1,False,1,27,7.0998,0.0,4.8351,5.9129,2,78,False,2,509,1058,,,47.9338,30.0112
5904,29411,4,True,0,False,0,0,0.0,0.0,0.0,1.6581,1,8,True,1,8,79,,,1.6581,1.6581
5905,29427,4,True,1,True,1,34,0.0211,0.0632,0.0,0.9683,1,0,True,1,0,34,,,1.7127,0.6524
5906,29430,4,False,1,False,1,29,4.8166,0.0326,4.8698,5.1684,2,79,False,2,518,1082,,,44.9247,30.0155
5907,29431,4,True,1,True,1,31,2.8483,0.0327,0.0,0.8962,1,0,True,1,6,71,,,5.3145,1.4671
5908,29449,3,True,1,True,1,2,2.069,0.0331,0.0,0.0,1,0,True,1,0,3,,,2.5291,0.0546
5909,29455,4,True,1,True,1,20,17.3207,0.033,0.0,0.4725,1,0,True,1,0,33,,,18.6238,0.632
5910,29465,4,True,1,True,1,20,16.7574,0.0323,0.0,0.4728,1,0,True,1,0,33,,,18.0139,0.6362
5911,29475,4,True,1,True,1,50,1.624,0.0,0.0,1.6353,1,0,True,1,0,51,,,4.268,0.9985
5912,29478,3,True,0,False,0,0,0.0,0.0,0.0,0.9353,1,0,True,1,0,48,,,0.9353,0.9353
5913,29478,4,True,0,False,0,0,0.0,0.0,0.0,0.9408,1,0,True,1,0,48,,,0.9408,0.9408
5914,29480,4,True,0,False,0,0,0.0,0.0,0.0,0.3484,1,0,True,1,0,18,,,0.3484,0.3484
5915,29485,3,True,0,False,0,0,0.0,0.0,0.0,1.2194,1,0,True,1,0,63,,,1.2194,1.2194
5916,29486,4,True,1,True,1,107,1.4408,0.0321,0.0,0.1244,1,0,True,1,0,63,,,2.8358,1.2281
5917,29489,4,True,1,True,1,82,0.427,0.0319,0.0,0.2768,1,0,True,1,0,22,,,1.1649,0.4192
5918,29497,3,True,0,False,0,0,0.0,0.0,0.0,0.9234,1,0,True,1,0,48,,,0.9234,0.9234
5919,29497,4,True,0,False,0,0,0.0,0.0,0.0,0.9254,1,0,True,1,0,48,,,0.9254,0.9254
5920,29503,3,True,1,True,1,5,0.739,0.0347,0.0,0.0,1,0,True,1,0,4,,,0.9163,0.0771
5921,29527,4,True,0,False,0,0,0.0,0.0,0.0,0.3454,1,0,True,1,0,18,,,0.3454,0.3454
5922,29537,3,True,1,True,1,7,0.9702,0.0,0.0,0.2454,1,0,True,1,0,8,,,1.415,0.1594
5923,29541,4,True,0,False,0,0,0.0,0.0,0.0,0.8055,1,4,True,1,4,38,,,0.8055,0.8055
5924,29547,3,True,1,False,1,57,1.2056,0.0333,1.1583,3.0732,1,6,True,1,6,73,,,7.0245,1.5153
5925,29554,3,False,1,False,1,63,5.6874,0.0336,5.5019,6.6481,2,71,False,2,504,1080,,,47.9304,30.0287
5926,29564,4,True,1,True,1,11,0.7193,0.0326,0.0,0.0,1,0,True,1,0,3,,,0.871,0.0554
5927,29565,4,False,1,False,1,40,2.1687,0.0,1.7475,6.3237,2,66,False,2,515,1087,,,40.4187,30.0086
5928,29567,4,False,1,False,1,24,1.5518,0.0336,1.2578,5.4491,2,82,True,1,411,880,,,32.9913,24.5477
5929,29568,3,False,1,False,1,40,4.5133,0.0,4.2657,6.3129,2,66,False,2,517,1107,,,45.2434,30.0097
5930,29570,4,False,1,False,1,40,6.5724,0.0,4.0058,6.3115,2,66,False,2,517,1098,,,47.0167,30.015
5931,29583,3,False,1,False,1,36,6.0369,0.0,6.0203,6.1813,2,68,False,2,518,1093,,,48.3309,30.0055
5932,29586,4,True,1,False,1,23,2.8567,0.035,1.2986,1.4011,1,0,True,1,0,37,,,6.3947,0.7145
5933,29599,3,True,1,False,1,23,1.3269,0.0333,1.2755,1.4353,1,0,True,1,0,37,,,4.8668,0.7095
5934,29605,4,False,1,False,1,20,2.8524,0.0,2.7515,5.668,2,67,False,2,515,1090,,,41.3114,30.0113
5935,29610,4,False,1,False,1,40,5.0017,0.0327,4.932,5.9038,2,74,False,2,519,1082,,,45.9198,30.005
5936,29619,3,True,0,False,0,0,0.0,0.0,0.0,0.4732,1,0,True,1,0,24,,,0.4732,0.4732
5937,29625,3,False,1,False,1,32,0.0698,0.0643,0.0493,5.9927,2,79,True,1,377,792,,,28.7874,22.6017
5938,29626,3,True,1,False,1,19,5.8757,0.0657,5.8671,3.5364,1,56,True,1,0,34,,,16.0128,0.6556
5939,29639,4,False,1,False,1,4,8.9001,0.0,9.2074,5.1627,2,72,False,2,513,1063,,,53.3969,30.026
5940,29640,4,False,1,False,1,18,0.7528,0.0,0.649,5.5765,2,68,False,2,512,1103,,,37.0759,30.0157
5941,29645,3,True,1,False,1,11,0.0108,0.0648,0.0001,0.9464,1,0,True,1,0,33,,,1.6625,0.6307
5942,29646,4,True,1,True,1,20,0.9149,0.0,0.0,0.6536,1,0,True,1,0,21,,,2.0301,0.4214
5943,29649,4,True,1,False,1,39,0.0108,0.064,0.0001,0.9214,1,0,True,1,0,30,,,1.5792,0.5733
5944,29659,3,True,1,True,1,22,8.3175,0.0328,0.0,0.4739,1,0,True,1,0,33,,,9.6249,0.6408
5945,29663,4,True,1,True,1,50,2.6356,0.0,0.0,1.5907,1,0,True,1,0,51,,,5.3758,0.9854
5946,29664,3,True,1,True,1,3,1.2763,0.0328,0.0,0.0958,1,0,True,1,0,4,,,1.6577,0.0736
5947,29671,4,True,1,True,1,20,2.5552,0.0327,0.0,0.4388,1,0,False,2,531,1100,,,33.2949,30.0111
5948,29681,3,True,1,False,1,19,3.0254,0.0326,2.9336,1.3305,1,0,True,1,0,46,,,8.3263,0.8871
5949,29687,3,True,1,True,1,7,3.4283,0.0327,0.0,0.0958,1,0,True,1,0,3,,,3.6439,0.0541
5950,29687,4,True,1,True,1,17,2.9162,0.0,0.0,0.5582,1,0,True,1,0,18,,,3.8475,0.34
5951,29697,3,True,0,False,0,0,0.0,0.0,0.0,1.717,1,0,True,1,0,90,,,1.717,1.717
5952,29698,4,True,1,True,1,89,0.0106,0.0635,0.0,1.8725,1,0,True,1,0,63,,,3.1745,1.2201
5953,29703,3,True,1,True,1,32,0.6745,0.033,0.0,0.3753,1,0,True,1,0,31,,,1.7072,0.6136
5954,29705,3,True,0,False,0,0,0.0,0.0,0.0,0.8622,1,0,True,1,0,45,,,0.8622,0.8622
5955,29707,4,True,0,False,0,0,0.0,0.0,0.0,0.9377,1,0,True,1,0,49,,,0.9377,0.9377
5956,29718,3,True,0,False,0,0,0.0,0.0,0.0,0.6337,1,0,True,1,0,33,,,0.6337,0.6337
5957,29723,4,True,1,True,1,104,0.0112,0.0635,0.0,2.317,1,0,True,1,0,78,,,3.9168,1.5175
5958,29728,3,True,0,False,0,0,0.0,0.0,0.0,0.6358,1,0,True,1,0,33,,,0.6358,0.6358
5959,29728,4,True,0,False,0,0,0.0,0.0,0.0,1.1727,1,0,True,1,0,61,,,1.1727,1.1727
5960,29730,4,True,1,True,1,59,0.011,0.064,0.0,0.9531,1,0,True,1,0,33,,,1.6727,0.6368
5961,29732,4,True,0,False,0,0,0.0,0.0,0.0,1.0171,1,0,True,1,0,53,,,1.0171,1.0171
5962,29750,4,True,0,False,0,0,0.0,0.0,0.0,0.6637,1,0,True,1,0,34,,,0.6637,0.6637
5963,29751,4,True,1,True,1,33,0.0108,0.0641,0.0,0.1572,1,0,True,1,0,7,,,0.3746,0.1349
5964,29755,3,True,1,True,1,7,0.0103,0.0641,0.0,0.1875,1,0,True,1,0,8,,,0.4231,0.1535
5965,29760,4,True,0,False,0,0,0.0,0.0,0.0,1.7012,1,11,True,1,11,78,,,1.7012,1.7012
5966,29770,3,False,1,False,1,24,0.534,0.0,0.4431,5.7981,2,75,False,2,501,1092,,,37.1653,30.3616
5967,29771,3,False,1,False,1,63,0.5282,0.0334,0.5592,7.1247,2,71,False,2,504,1081,,,38.2927,30.0183
5968,29772,3,False,1,False,1,24,0.4986,0.0334,0.533,5.7815,2,75,False,2,486,1094,,,36.8799,30.0044
5969,29778,3,True,1,True,1,39,2.5139,0.0332,0.0,1.1522,1,0,True,1,0,40,,,4.497,0.7802
5970,29780,4,False,1,False,1,24,1.8503,0.0,1.4925,5.8094,2,75,True,1,102,229,,,15.3992,6.2092
5971,29781,3,False,1,False,1,24,16.8661,0.0,16.4999,5.793,2,69,False,2,512,1099,,,69.4953,30.0284
5972,29787,4,False,1,False,1,45,8.9561,0.0,10.1187,6.5235,2,67,False,2,517,1099,,,55.6573,30.0114
5973,29791,3,False,1,False,1,32,2.4535,0.0323,2.2883,5.9853,2,71,False,2,517,1080,,,40.8168,30.0082
5974,29794,4,True,1,False,1,23,2.4502,0.0,2.7223,1.4956,1,0,True,1,0,37,,,7.4049,0.6877
5975,29796,3,True,1,False,1,23,1.4645,0.0333,2.5027,1.4222,1,0,True,1,0,37,,,6.1861,0.7146
5976,29806,3,True,1,False,1,23,3.2405,0.0336,1.5921,1.4208,1,0,True,1,0,37,,,7.1067,0.7358
5977,29806,4,True,1,False,1,23,2.9737,0.0,2.9698,1.4575,1,0,True,1,0,37,,,8.1997,0.7069
5978,29808,4,True,1,False,1,23,1.5351,0.0,2.9938,1.4508,1,0,True,1,0,37,,,6.7612,0.6981
5979,29824,4,False,1,False,1,13,11.5883,0.0,11.234,5.4502,2,76,False,2,516,1072,,,58.4072,30.0634
5980,29831,3,True,0,False,0,0,0.0,0.0,0.0,0.9576,1,4,True,1,4,45,,,0.9576,0.9576
5981,29832,4,True,0,False,0,0,0.0,0.0,0.0,1.2154,1,0,True,1,0,63,,,1.2154,1.2154
5982,29839,3,True,1,False,1,4,7.1275,0.0328,7.127,0.7456,1,0,True,1,0,34,,,15.7062,0.661
5983,29842,3,True,1,True,1,6,1.9324,0.0323,0.0,0.1935,1,0,True,1,0,7,,,2.3311,0.1477
5984,29845,3,True,1,True,1,5,0.761,0.0327,0.0,0.1247,1,0,True,1,0,6,,,1.0565,0.1128
5985,29847,4,True,1,True,1,8,0.6181,0.0328,0.0,0.1581,1,0,True,1,4,70,,,2.2389,1.4084
5986,29850,4,True,1,True,1,32,2.7935,0.0329,0.0,0.935,1,0,True,1,5,70,,,5.2685,1.4385
5987,29851,4,False,1,False,1,4,2.2111,0.033,2.1757,5.0473,2,73,False,2,521,1096,,,39.499,30.0072
5988,29852,4,True,1,True,1,29,0.3133,0.0325,0.0,0.8158,1,0,True,1,0,57,,,2.3507,1.0885
5989,29859,3,True,0,False,0,0,0.0,0.0,0.0,0.6218,1,0,True,1,0,33,,,0.6218,0.6218
5990,29872,3,True,1,True,1,20,2.4004,0.033,0.0,0.4764,1,0,True,1,0,33,,,3.6977,0.6295
5991,29880,4,True,1,True,1,5,3.4886,0.0328,0.0,0.0,1,0,True,1,0,6,,,4.2155,0.1123
5992,29883,3,True,1,True,1,20,1.4642,0.0326,0.0,0.4689,1,0,True,1,0,33,,,2.8284,0.6355
5993,29889,3,True,1,True,1,25,3.5,0.0,0.0,0.8049,1,0,True,1,0,26,,,4.9837,0.4897
5994,29903,4,True,1,False,1,68,2.0573,0.0324,2.1464,0.784,1,0,True,1,0,39,,,5.8018,0.765
5995,29906,3,True,1,True,1,18,1.3471,0.0327,0.0,0.4404,1,0,True,1,0,31,,,2.4568,0.626
5996,29908,3,True,0,False,0,0,0.0,0.0,0.0,0.3427,1,0,True,1,0,18,,,0.3427,0.3427
