fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s,source_csv
0,3853,4,True,1,0,5,0,4,0.305657,classic_shard_0_1000_per_fault.csv
1,3874,3,True,1,12,56,0,615,3.249375,classic_shard_0_1000_per_fault.csv
2,3874,4,True,1,12,56,0,614,3.234842,classic_shard_0_1000_per_fault.csv
3,3878,3,True,1,0,8,0,29,0.37501,classic_shard_0_1000_per_fault.csv
4,3895,3,True,1,0,33,0,287,1.569637,classic_shard_0_1000_per_fault.csv
5,3913,3,False,2,21,90,0,860,5.163475,classic_shard_0_1000_per_fault.csv
6,3915,3,True,1,0,28,0,325,1.319547,classic_shard_0_1000_per_fault.csv
7,3933,3,True,1,0,20,0,54,0.979404,classic_shard_0_1000_per_fault.csv
8,3935,3,True,1,0,22,0,136,1.045379,classic_shard_0_1000_per_fault.csv
9,3939,3,False,2,32,75,0,224,5.018417,classic_shard_0_1000_per_fault.csv
10,3964,3,False,2,28,78,0,246,5.036959,classic_shard_0_1000_per_fault.csv
11,3974,3,True,1,0,27,0,233,1.302424,classic_shard_0_1000_per_fault.csv
12,3976,4,True,1,1,25,0,89,1.271599,classic_shard_0_1000_per_fault.csv
13,3979,3,True,1,0,15,0,44,0.748812,classic_shard_0_1000_per_fault.csv
14,3980,4,True,1,0,14,0,41,0.722164,classic_shard_0_1000_per_fault.csv
15,3982,3,True,1,0,18,0,48,0.899225,classic_shard_0_1000_per_fault.csv
16,3990,3,True,1,0,29,0,168,1.468987,classic_shard_0_1000_per_fault.csv
17,3993,4,False,2,47,123,0,295,5.007628,classic_shard_0_1000_per_fault.csv
18,3997,4,True,1,0,21,0,177,0.504971,classic_shard_0_1000_per_fault.csv
19,3998,4,True,1,0,14,0,43,0.362051,classic_shard_0_1000_per_fault.csv
20,4007,3,True,1,0,21,0,153,0.512429,classic_shard_0_1000_per_fault.csv
21,4014,4,True,1,0,8,0,19,0.193502,classic_shard_0_1000_per_fault.csv
22,4027,4,True,1,0,8,0,14,0.198274,classic_shard_0_1000_per_fault.csv
23,4028,3,True,1,0,3,0,2,0.075894,classic_shard_0_1000_per_fault.csv
24,4036,4,False,2,62,159,0,359,5.056501,classic_shard_0_1000_per_fault.csv
25,4041,4,True,1,0,7,0,14,0.165197,classic_shard_0_1000_per_fault.csv
26,4056,4,True,1,0,23,0,186,0.5335,classic_shard_0_1000_per_fault.csv
27,4064,4,True,1,0,22,0,95,0.505545,classic_shard_0_1000_per_fault.csv
28,4079,3,True,1,3,31,0,135,0.780126,classic_shard_0_1000_per_fault.csv
29,4079,4,True,1,3,31,0,134,0.778687,classic_shard_0_1000_per_fault.csv
30,4082,4,True,1,0,22,0,111,0.505767,classic_shard_0_1000_per_fault.csv
31,4085,4,True,1,0,22,0,105,0.505188,classic_shard_0_1000_per_fault.csv
32,4116,4,True,1,0,22,0,96,0.504619,classic_shard_0_1000_per_fault.csv
33,4119,3,True,1,0,22,0,93,0.505528,classic_shard_0_1000_per_fault.csv
34,4119,4,True,1,0,22,0,92,0.507512,classic_shard_0_1000_per_fault.csv
35,4137,3,True,1,0,22,0,106,0.508532,classic_shard_0_1000_per_fault.csv
36,4146,3,True,1,0,22,0,92,0.504557,classic_shard_0_1000_per_fault.csv
37,4150,4,True,1,2,27,0,120,0.665905,classic_shard_0_1000_per_fault.csv
38,4168,3,True,1,0,22,0,100,0.507438,classic_shard_0_1000_per_fault.csv
39,4188,4,True,1,0,22,0,169,0.506492,classic_shard_0_1000_per_fault.csv
40,4197,3,True,1,0,48,0,333,1.110174,classic_shard_0_1000_per_fault.csv
41,4203,4,True,1,2,14,0,23,0.37189,classic_shard_0_1000_per_fault.csv
42,4220,3,True,1,0,78,0,660,1.808089,classic_shard_0_1000_per_fault.csv
43,4224,4,True,1,0,78,0,575,1.841864,classic_shard_0_1000_per_fault.csv
44,4226,3,True,1,0,41,0,350,0.949722,classic_shard_0_1000_per_fault.csv
45,4226,4,True,1,0,41,0,349,0.97061,classic_shard_0_1000_per_fault.csv
46,4228,4,True,1,0,48,0,334,1.137056,classic_shard_0_1000_per_fault.csv
47,4240,4,True,1,0,18,0,120,0.420611,classic_shard_0_1000_per_fault.csv
48,4242,4,True,1,0,48,0,373,1.108344,classic_shard_0_1000_per_fault.csv
49,4252,3,True,1,0,18,0,140,0.411315,classic_shard_0_1000_per_fault.csv
50,4255,4,True,1,0,78,0,575,1.791556,classic_shard_0_1000_per_fault.csv
51,4257,3,True,1,0,41,0,350,0.943694,classic_shard_0_1000_per_fault.csv
52,4257,4,True,1,0,41,0,351,0.936997,classic_shard_0_1000_per_fault.csv
53,4261,3,True,1,0,26,0,229,0.588931,classic_shard_0_1000_per_fault.csv
54,4267,3,True,1,0,18,0,140,0.413951,classic_shard_0_1000_per_fault.csv
55,4277,3,True,1,0,8,0,26,0.187114,classic_shard_0_1000_per_fault.csv
56,4280,3,True,1,0,7,0,20,0.165844,classic_shard_0_1000_per_fault.csv
57,4280,4,True,1,0,7,0,19,0.165691,classic_shard_0_1000_per_fault.csv
58,4284,3,True,1,0,8,0,25,0.18817,classic_shard_0_1000_per_fault.csv
59,4286,3,True,1,0,7,0,20,0.162625,classic_shard_0_1000_per_fault.csv
60,4298,3,True,1,6,38,0,340,1.001197,classic_shard_0_1000_per_fault.csv
61,4301,4,True,1,4,36,0,373,0.915982,classic_shard_0_1000_per_fault.csv
62,4311,4,True,1,2,28,0,232,0.686126,classic_shard_0_1000_per_fault.csv
63,4315,3,True,1,4,36,0,374,0.912543,classic_shard_0_1000_per_fault.csv
64,4315,4,True,1,4,36,0,373,0.914304,classic_shard_0_1000_per_fault.csv
65,4322,3,True,1,4,36,0,353,0.912277,classic_shard_0_1000_per_fault.csv
66,4324,3,True,1,4,38,0,390,0.957427,classic_shard_0_1000_per_fault.csv
67,4344,4,True,1,0,23,0,174,0.529071,classic_shard_0_1000_per_fault.csv
68,4358,4,True,1,0,7,0,29,0.16153,classic_shard_0_1000_per_fault.csv
69,4370,3,True,1,0,21,0,151,0.484113,classic_shard_0_1000_per_fault.csv
70,4374,4,True,1,0,10,0,37,0.232154,classic_shard_0_1000_per_fault.csv
71,4376,4,True,1,0,21,0,193,0.480584,classic_shard_0_1000_per_fault.csv
72,4379,3,True,1,0,18,0,52,0.416439,classic_shard_0_1000_per_fault.csv
73,4381,4,True,1,0,14,0,41,0.321151,classic_shard_0_1000_per_fault.csv
74,4382,4,True,1,0,20,0,156,0.461626,classic_shard_0_1000_per_fault.csv
75,4387,3,True,1,0,18,0,60,0.416919,classic_shard_0_1000_per_fault.csv
76,4389,4,True,1,0,14,0,42,0.320468,classic_shard_0_1000_per_fault.csv
77,4390,3,True,1,0,26,0,197,0.61189,classic_shard_0_1000_per_fault.csv
78,4400,3,False,2,15,198,0,888,5.059842,classic_shard_0_1000_per_fault.csv
79,4440,3,False,2,58,147,0,355,5.001327,classic_shard_0_1000_per_fault.csv
80,4440,4,False,2,63,156,0,367,5.008554,classic_shard_0_1000_per_fault.csv
81,4442,4,True,1,3,30,0,144,0.771887,classic_shard_0_1000_per_fault.csv
82,4445,3,True,1,0,13,0,44,0.326463,classic_shard_0_1000_per_fault.csv
83,4445,4,True,1,0,13,0,43,0.412223,classic_shard_0_1000_per_fault.csv
84,4454,4,True,1,0,24,0,253,0.730608,classic_shard_0_1000_per_fault.csv
85,4458,3,True,1,0,24,0,254,0.564591,classic_shard_0_1000_per_fault.csv
86,4476,3,True,1,0,9,0,33,0.212288,classic_shard_0_1000_per_fault.csv
87,4496,3,True,1,0,24,0,281,0.555316,classic_shard_0_1000_per_fault.csv
88,4496,4,True,1,0,26,0,288,0.601129,classic_shard_0_1000_per_fault.csv
89,4503,4,True,1,0,34,0,125,0.812708,classic_shard_0_1000_per_fault.csv
90,4540,3,True,1,0,3,0,4,0.07815,classic_shard_0_1000_per_fault.csv
91,4548,4,True,1,0,9,0,34,0.221981,classic_shard_0_1000_per_fault.csv
92,4549,4,True,1,0,8,0,34,0.191422,classic_shard_0_1000_per_fault.csv
93,4571,4,True,1,0,12,0,36,0.284155,classic_shard_0_1000_per_fault.csv
94,4572,4,True,1,0,12,0,37,0.285237,classic_shard_0_1000_per_fault.csv
95,4595,3,False,2,59,163,0,995,5.005962,classic_shard_0_1000_per_fault.csv
96,4595,4,False,2,57,162,0,1165,5.010731,classic_shard_0_1000_per_fault.csv
97,4598,4,False,2,49,176,0,465,5.013146,classic_shard_0_1000_per_fault.csv
98,4637,4,True,1,1,41,0,122,0.965222,classic_shard_0_1000_per_fault.csv
99,4638,3,True,1,1,41,0,124,0.96384,classic_shard_0_1000_per_fault.csv
100,4648,4,True,1,0,21,0,157,0.487802,classic_shard_0_1000_per_fault.csv
101,4651,4,True,1,2,32,0,160,0.785096,classic_shard_0_1000_per_fault.csv
102,4671,4,False,2,50,176,0,616,5.043133,classic_shard_0_1000_per_fault.csv
103,4672,3,True,1,0,28,0,276,0.645242,classic_shard_0_1000_per_fault.csv
104,4677,3,True,1,33,119,0,352,3.478397,classic_shard_0_1000_per_fault.csv
105,4678,3,True,1,0,23,0,132,0.537522,classic_shard_0_1000_per_fault.csv
106,4678,4,True,1,0,50,0,110,1.152461,classic_shard_0_1000_per_fault.csv
107,4679,4,True,1,3,27,0,110,0.694672,classic_shard_0_1000_per_fault.csv
