fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s,source_csv
0,3853,4,True,1,True,1,5,0.284,0.0667,0.0,0.1004,1,0,,,,,,,0.4583,,per_fault.csv
1,3874,3,True,1,False,1,18,0.0107,0.0681,0.0001,1.9642,1,12,,,,,,,2.0508,,per_fault.csv
2,3874,4,True,1,False,1,18,0.0105,0.0677,0.0001,1.9283,1,12,,,,,,,2.0141,,per_fault.csv
3,3878,3,True,1,True,1,7,0.0117,0.0668,0.0,0.2012,1,0,,,,,,,0.2855,,per_fault.csv
4,3895,3,True,1,False,1,11,0.012,0.0657,0.0001,1.0065,1,0,,,,,,,1.0919,,per_fault.csv
5,3913,3,False,1,False,1,48,0.0195,0.0656,0.0001,6.4923,2,66,,,,,,,6.585,,per_fault.csv
6,3915,3,True,1,True,1,27,0.012,0.0656,0.0,0.8363,1,0,,,,,,,0.9196,,per_fault.csv
7,3933,3,True,1,True,1,14,0.0403,0.0655,0.0,0.4165,1,0,,,,,,,0.5281,,per_fault.csv
8,3935,3,True,1,True,1,21,0.013,0.0662,0.0,0.6524,1,0,,,,,,,0.7376,,per_fault.csv
9,3939,3,False,1,False,1,12,0.0123,0.0643,0.0001,5.3623,2,74,,,,,,,5.4465,,per_fault.csv
10,3964,3,True,1,False,1,12,0.0128,0.0655,0.0001,1.1946,1,5,,,,,,,1.2807,,per_fault.csv
11,3974,3,True,1,True,1,24,0.0236,0.0641,0.0,0.7165,1,0,,,,,,,0.8098,,per_fault.csv
12,3976,4,True,1,False,1,21,0.0458,0.034,0.0009,1.0658,1,1,,,,,,,1.155,,per_fault.csv
13,3979,3,True,1,True,1,13,0.0261,0.0656,0.0,0.3214,1,0,,,,,,,0.4196,,per_fault.csv
14,3980,4,True,1,True,1,13,0.0659,0.0652,0.0,0.2895,1,0,,,,,,,0.4271,,per_fault.csv
15,3982,3,True,1,True,1,14,0.026,0.0665,0.0,0.4309,1,0,,,,,,,0.5291,,per_fault.csv
16,3990,3,True,1,False,1,18,0.0127,0.0675,0.0001,2.0458,1,7,,,,,,,2.1338,,per_fault.csv
17,3993,4,True,1,False,1,15,0.0123,0.0639,0.0001,4.4142,1,62,,,,,,,4.4982,,per_fault.csv
