fault_index,original_fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,time_s,classic_timeout_time_s,classic_timeout_backtracks,classic_timeout_recursive_calls,ai_error
0,5,3913,3,False,1,False,1,20,0.1544,0.0314,0.0001,10.2892,2,332,10.4792,10.000386,342,741,
1,9,3939,3,False,1,False,1,12,0.0147,0.0307,0.0001,10.1669,2,326,10.2154,10.006082,355,722,
2,24,4036,4,False,1,False,1,35,0.0161,0.031,0.0001,10.5261,2,340,10.5765,10.009816,316,673,
3,78,4400,3,False,1,False,1,171,0.0164,0.0309,0.0001,12.5791,2,293,12.6297,10.001023,209,593,
4,95,4595,3,True,1,False,1,40,0.0457,0.0305,0.0001,8.7198,1,274,8.7992,10.000122,274,594,
5,96,4595,4,False,1,False,1,48,0.0471,0.0316,0.0001,10.7113,2,333,10.793,10.016331,309,670,
6,97,4598,4,False,1,False,1,67,0.0159,0.0317,0.0001,11.0237,2,335,11.0744,10.051822,294,655,
7,102,4671,4,False,1,False,1,68,0.0638,0.0315,0.0001,11.0034,2,188,11.1018,10.006573,234,544,
8,111,4759,4,False,1,False,1,30,0.0155,0.032,0.0001,10.4787,2,341,10.5293,10.016993,231,496,
9,112,4780,4,False,1,False,1,76,0.0237,0.0315,0.0001,11.2045,2,160,11.2629,10.009443,183,418,
10,117,4810,3,False,1,False,1,10,0.0262,0.0314,0.0001,10.1491,2,71,10.2097,10.034434,137,288,
11,142,5017,4,False,1,False,1,27,0.0314,0.0306,0.0001,10.3864,2,257,10.4516,10.006015,93,298,
12,143,5033,4,False,1,False,1,86,0.0077,0.031,0.0001,11.2146,2,334,11.2565,10.031874,120,332,
13,145,5037,4,False,1,False,1,153,0.0075,0.0319,0.0001,12.214,2,312,12.2565,10.029265,232,617,
14,149,5058,3,False,1,False,1,109,0.0148,0.031,0.0001,11.6321,2,319,11.6811,10.00495,239,594,
15,156,5073,4,False,1,False,1,51,0.0322,0.0319,0.0166,10.7701,2,319,10.854,10.002035,301,649,
16,157,5081,4,False,1,False,1,49,0.0309,0.0312,0.0001,10.7456,2,335,10.8108,10.008593,296,665,
17,158,5082,3,False,1,False,1,50,0.0164,0.0313,0.0001,10.758,2,327,10.8088,10.008382,275,619,
18,159,5083,4,False,1,False,1,3,0.0323,0.0316,0.0001,10.0573,2,0,10.1242,10.008362,134,345,
19,160,5084,4,False,1,False,1,3,0.0308,0.0317,0.0001,10.0201,2,0,10.0857,10.002728,248,567,
20,161,5085,4,False,1,False,1,3,0.033,0.0317,0.0001,10.0242,2,0,10.0921,10.001587,268,611,
21,162,5086,3,False,1,False,1,48,0.0165,0.0319,0.0001,10.7271,2,317,10.7787,10.003571,289,653,
22,163,5087,4,False,1,False,1,47,0.0316,0.0324,0.0001,10.6937,2,321,10.7609,10.001663,291,663,
23,164,5089,3,False,1,False,1,48,0.0162,0.032,0.0001,10.7414,2,318,10.7927,10.004833,296,662,
24,165,5091,3,False,1,False,1,48,0.0159,0.0312,0.0001,10.719,2,317,10.7693,10.000152,296,665,
25,166,5099,3,False,1,False,1,46,0.0166,0.0316,0.0001,10.7334,2,289,10.7848,10.00323,289,648,
26,167,5100,4,False,1,False,1,3,0.0329,0.0324,0.0001,10.0259,2,0,10.0944,10.017593,292,649,
27,168,5101,4,False,1,False,1,3,0.0745,0.0319,0.0001,10.0173,2,0,10.1276,10.038238,292,649,
28,169,5104,3,False,1,False,1,44,0.016,0.0522,0.0001,11.0576,2,278,11.1299,10.070903,300,659,
29,170,5105,3,False,1,False,1,44,0.0177,0.0321,0.0001,10.675,2,328,10.728,10.000329,288,641,
30,171,5105,4,False,1,False,1,43,0.0317,0.0316,0.0001,10.6245,2,310,10.6909,10.041959,293,652,
31,172,5107,3,False,1,False,1,44,0.0167,0.0314,0.0083,10.6714,2,324,10.7309,10.000312,300,659,
32,173,5112,3,False,1,False,1,42,0.0163,0.0321,0.0001,10.6402,2,330,10.6918,10.000214,295,653,
33,174,5114,4,False,1,False,1,41,0.0322,0.0316,0.0001,10.5853,2,333,10.6522,10.00724,214,494,
34,175,5117,3,False,1,False,1,41,0.0161,0.0312,0.0001,10.6296,2,252,10.6799,10.009191,274,613,
35,176,5118,4,False,1,False,1,3,0.0757,0.0537,0.0002,10.0282,2,0,10.1633,10.009749,172,404,
36,177,5120,4,False,1,False,1,40,0.0334,0.033,0.0001,10.6412,2,332,10.7108,10.068026,249,555,
37,178,5123,4,False,1,False,1,3,0.0317,0.0321,0.0001,10.0195,2,0,10.0865,10.0029,219,503,
38,179,5131,3,False,1,False,1,156,0.0081,0.0307,0.0001,12.374,2,312,12.416,10.020064,283,726,
39,186,5139,3,False,1,False,1,156,0.008,0.0317,0.0001,12.3501,2,301,12.3929,10.014034,290,742,
40,190,5162,3,False,1,False,1,101,0.0324,0.0318,0.0001,11.5689,2,301,11.6362,10.00397,281,662,
41,207,5337,4,False,1,False,1,51,0.1279,0.0312,0.0003,10.769,2,338,10.9316,10.009088,299,659,
42,208,5338,3,False,1,False,1,40,0.1098,0.031,0.0308,10.6296,2,344,10.8043,10.006942,306,667,
43,209,5338,4,False,1,False,1,49,0.0977,0.0312,0.0002,10.7157,2,322,10.8479,10.004996,309,670,
44,210,5348,3,False,1,False,1,75,0.0177,0.031,0.0001,11.1685,2,192,11.2203,10.037449,153,385,
45,212,5352,3,False,1,False,1,37,0.1889,0.0333,0.1707,10.5235,2,337,10.9199,10.006924,304,649,
46,213,5353,3,False,1,False,1,37,0.1543,0.032,0.0004,10.5202,2,343,10.7101,10.000536,273,586,
47,214,5353,4,False,1,False,1,80,0.1136,0.0311,0.0534,11.2687,2,181,11.4698,10.000405,283,660,
