fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s
0,3853,4,True,1,0,5,0,4,0.06216
1,3874,3,True,1,12,56,0,615,0.663103
2,3874,4,True,1,12,56,0,614,0.650639
3,3878,3,True,1,0,8,0,29,0.084104
4,3895,3,True,1,0,33,0,287,0.321007
5,3913,3,False,2,342,741,0,4050,10.000386
6,3915,3,True,1,0,28,0,325,0.269063
7,3933,3,True,1,0,20,0,54,0.195091
8,3935,3,True,1,0,22,0,136,0.212384
9,3939,3,False,2,355,722,0,2036,10.006082
10,3964,3,True,1,28,84,0,277,1.046
11,3974,3,True,1,0,27,0,233,0.263704
12,3976,4,True,1,1,25,0,89,0.248456
13,3979,3,True,1,0,15,0,44,0.146688
14,3980,4,True,1,0,14,0,41,0.137136
15,3982,3,True,1,0,18,0,48,0.177073
16,3990,3,True,1,0,29,0,168,0.274859
17,3993,4,True,1,62,146,0,342,1.920363
18,3997,4,True,1,0,21,0,177,0.19943
19,3998,4,True,1,0,14,0,43,0.135284
20,4007,3,True,1,0,21,0,153,0.200863
21,4014,4,True,1,0,8,0,19,0.08093
22,4027,4,True,1,0,8,0,14,0.080868
23,4028,3,True,1,0,3,0,2,0.033885
24,4036,4,False,2,316,673,0,917,10.009816
25,4041,4,True,1,0,7,0,14,0.087354
26,4056,4,True,1,0,23,0,186,0.259364
27,4064,4,True,1,0,22,0,95,0.250354
28,4079,3,True,1,3,31,0,135,0.373749
29,4079,4,True,1,3,31,0,134,0.37582
30,4082,4,True,1,0,22,0,111,0.240386
31,4085,4,True,1,0,22,0,105,0.244431
32,4116,4,True,1,0,22,0,96,0.247328
33,4119,3,True,1,0,22,0,93,0.24299
34,4119,4,True,1,0,22,0,92,0.246264
35,4137,3,True,1,0,22,0,106,0.240581
36,4146,3,True,1,0,22,0,92,0.240339
37,4150,4,True,1,2,27,0,120,0.31997
38,4168,3,True,1,0,22,0,100,0.250386
39,4188,4,True,1,0,22,0,169,0.262314
40,4197,3,True,1,0,48,0,333,0.537967
41,4203,4,True,1,2,14,0,23,0.183952
42,4220,3,True,1,0,78,0,660,0.919873
43,4224,4,True,1,0,78,0,575,0.907153
44,4226,3,True,1,0,41,0,350,0.455687
45,4226,4,True,1,0,41,0,349,0.447982
46,4228,4,True,1,0,48,0,334,0.566984
47,4240,4,True,1,0,18,0,120,0.206914
48,4242,4,True,1,0,48,0,373,0.526974
49,4252,3,True,1,0,18,0,140,0.218631
50,4255,4,True,1,0,78,0,575,0.916784
51,4257,3,True,1,0,41,0,350,0.459343
52,4257,4,True,1,0,41,0,351,0.461156
53,4261,3,True,1,0,26,0,229,0.625349
54,4267,3,True,1,0,18,0,140,0.461323
55,4277,3,True,1,0,8,0,26,0.229831
56,4280,3,True,1,0,7,0,20,0.186476
57,4280,4,True,1,0,7,0,19,0.171667
58,4284,3,True,1,0,8,0,25,0.228719
59,4286,3,True,1,0,7,0,20,0.194144
60,4298,3,True,1,6,38,0,340,0.993668
61,4301,4,True,1,4,36,0,373,0.631508
62,4311,4,True,1,2,28,0,232,0.369165
63,4315,3,True,1,4,36,0,374,0.435225
64,4315,4,True,1,4,36,0,373,0.668075
65,4322,3,True,1,4,36,0,353,0.462511
66,4324,3,True,1,4,38,0,390,0.710459
67,4344,4,True,1,0,23,0,174,0.497894
68,4358,4,True,1,0,7,0,29,0.130584
69,4370,3,True,1,0,21,0,151,0.301088
70,4374,4,True,1,0,10,0,37,0.237131
71,4376,4,True,1,0,21,0,193,0.552677
72,4379,3,True,1,0,18,0,52,0.475294
73,4381,4,True,1,0,14,0,41,0.294687
74,4382,4,True,1,0,20,0,156,0.218781
75,4387,3,True,1,0,18,0,60,0.216888
76,4389,4,True,1,0,14,0,42,0.261387
77,4390,3,True,1,0,26,0,197,0.332855
78,4400,3,False,2,209,593,0,1085,10.001023
79,4440,3,True,1,146,318,0,712,6.131209
80,4440,4,True,1,146,318,0,711,4.932038
81,4442,4,True,1,3,30,0,144,0.356208
82,4445,3,True,1,0,13,0,44,0.146899
83,4445,4,True,1,0,13,0,43,0.145248
84,4454,4,True,1,0,24,0,253,0.263314
85,4458,3,True,1,0,24,0,254,0.265021
86,4476,3,True,1,0,9,0,33,0.104315
87,4496,3,True,1,0,24,0,281,0.278995
88,4496,4,True,1,0,26,0,288,0.295143
89,4503,4,True,1,0,34,0,125,0.384502
90,4540,3,True,1,0,3,0,4,0.046235
91,4548,4,True,1,0,9,0,34,0.155355
92,4549,4,True,1,0,8,0,34,0.128199
93,4571,4,True,1,0,12,0,36,0.225319
94,4572,4,True,1,0,12,0,37,0.244839
95,4595,3,False,2,274,594,0,3093,10.000122
96,4595,4,False,2,309,670,0,3698,10.016331
97,4598,4,False,2,294,655,0,783,10.051822
98,4637,4,True,1,1,41,0,122,0.843933
99,4638,3,True,1,1,41,0,124,0.808794
100,4648,4,True,1,0,21,0,157,0.516801
101,4651,4,True,1,2,32,0,160,0.806874
102,4671,4,False,2,234,544,0,1446,10.006573
103,4672,3,True,1,0,28,0,276,0.305354
104,4677,3,True,1,33,119,0,352,2.235336
105,4678,3,True,1,0,23,0,132,0.286955
106,4678,4,True,1,0,50,0,110,0.529456
107,4679,4,True,1,3,27,0,110,0.509142
108,4680,4,True,1,12,81,0,264,1.773884
109,4727,3,True,1,0,23,0,156,0.412588
110,4737,3,True,1,0,5,0,6,0.112075
111,4759,4,False,2,231,496,0,417,10.016993
112,4780,4,False,2,183,418,0,632,10.009443
