fault_index,circuit,bench,gate_id,stuck_at,fault_val,atalanta_backtracks,atalanta_backtracks_min,atalanta_backtracks_max,atalanta_time_s_max,ai_ok,ai_result_code,ai_backtracks,ai_recursive_calls,ai_time_s,ai_precheck_success,ai_has_reconv_pairs,ai_error,backtrack_reduction,backtrack_reduction_pct
0,b14,data/bench/ITC99_all_numeric/b14.bench,410,0,3,100001,100001,100001,17.65,True,1,0,3,0.309181,False,True,,100001,1.0
1,b14,data/bench/ITC99_all_numeric/b14.bench,410,1,4,100001,100001,100001,17.367,True,1,0,3,0.0713,False,True,,100001,1.0
2,b14,data/bench/ITC99_all_numeric/b14.bench,411,0,3,100001,100001,100001,17.433,True,1,0,3,0.116145,False,True,,100001,1.0
3,b14,data/bench/ITC99_all_numeric/b14.bench,411,1,4,100001,100001,100001,17.333,True,1,0,3,0.123471,False,True,,100001,1.0
4,b14,data/bench/ITC99_all_numeric/b14.bench,994,0,3,100001,100001,100001,19.483,True,1,0,11,0.105775,False,True,,100001,1.0
5,b14,data/bench/ITC99_all_numeric/b14.bench,1272,0,3,100001,100001,100001,20.2,True,1,0,2,0.13587,False,True,,100001,1.0
6,b14,data/bench/ITC99_all_numeric/b14.bench,1637,0,3,100001,100001,100001,6.55,True,1,0,3,0.045657,False,True,,100001,1.0
7,b14,data/bench/ITC99_all_numeric/b14.bench,1901,1,4,100001,100001,100001,8.5,True,1,0,6,0.052916,False,True,,100001,1.0
8,b14,data/bench/ITC99_all_numeric/b14.bench,2002,0,3,100001,100001,100001,6.733,True,1,0,2,0.024908,False,True,,100001,1.0
9,b14,data/bench/ITC99_all_numeric/b14.bench,2463,1,4,100001,100001,100001,4.883,True,1,0,28,0.224457,False,True,,100001,1.0
10,b14,data/bench/ITC99_all_numeric/b14.bench,2637,0,3,100001,100001,100001,6.35,True,1,0,3,0.119948,False,True,,100001,1.0
11,b14,data/bench/ITC99_all_numeric/b14.bench,2637,1,4,100001,100001,100001,6.467,True,1,0,13,0.139657,False,True,,100001,1.0
12,b14,data/bench/ITC99_all_numeric/b14.bench,2728,1,4,100001,100001,100001,6.733,False,2,0,642,5.000131,False,True,AI mode exceeded its 5.000s total budget,100001,1.0
13,b14,data/bench/ITC99_all_numeric/b14.bench,2999,0,3,100001,100001,100001,234.05,True,1,0,4,0.038643,False,True,,100001,1.0
14,b14,data/bench/ITC99_all_numeric/b14.bench,3002,0,3,100001,100001,100001,78.217,True,1,0,4,0.045289,False,True,,100001,1.0
15,b14,data/bench/ITC99_all_numeric/b14.bench,3003,0,3,100001,100001,100001,209.417,True,1,0,2,0.023585,False,True,,100001,1.0
16,b14,data/bench/ITC99_all_numeric/b14.bench,3017,1,4,100001,100001,100001,10.383,True,1,0,3,0.026641,False,True,,100001,1.0
17,b14,data/bench/ITC99_all_numeric/b14.bench,3127,1,4,100001,100001,100001,12.8,True,1,0,3,0.032848,False,True,,100001,1.0
18,b14,data/bench/ITC99_all_numeric/b14.bench,3426,0,3,100001,100001,100001,4.75,True,1,0,48,0.607901,False,True,,100001,1.0
19,b14,data/bench/ITC99_all_numeric/b14.bench,3585,0,3,100001,100001,100001,6.783,True,1,0,10,0.116896,False,True,,100001,1.0
20,b14,data/bench/ITC99_all_numeric/b14.bench,3585,1,4,100001,100001,100001,6.133,True,1,0,14,0.148894,False,True,,100001,1.0
21,b14,data/bench/ITC99_all_numeric/b14.bench,3930,0,3,100001,100001,100001,127.6,True,1,0,9,0.079918,False,True,,100001,1.0
22,b14,data/bench/ITC99_all_numeric/b14.bench,3939,0,3,100001,100001,100001,42.567,True,1,0,10,0.087296,False,True,,100001,1.0
23,b14,data/bench/ITC99_all_numeric/b14.bench,3943,0,3,100001,100001,100001,114.833,True,1,0,10,0.084084,False,True,,100001,1.0
24,b14,data/bench/ITC99_all_numeric/b14.bench,3945,0,3,100001,100001,100001,9.95,True,1,0,7,0.065854,False,True,,100001,1.0
