fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_backtracks,classic_ok,classic_backtracks,ai_less_backtracks,ai_error,time_s,classic_time_s
0,3,4,True,1,False,1,0,115,,,,,7.8807,
1,14,3,True,1,False,1,0,115,,,,,7.9784,
2,25,3,True,1,False,1,0,0,,,,,0.5845,
3,26,3,True,1,False,1,0,0,,,,,0.5839,
4,29,3,True,1,False,1,0,0,,,,,0.5884,
5,30,3,True,1,False,1,0,0,,,,,0.5857,
6,33,4,True,1,False,1,0,0,,,,,0.5869,
7,35,4,True,1,False,1,0,7,,,,,0.7705,
8,36,3,True,1,False,1,0,0,,,,,0.107,
9,42,3,True,1,False,1,0,0,,,,,0.2398,
10,43,3,True,1,False,1,0,0,,,,,0.2404,
11,43,4,True,1,False,1,0,0,,,,,0.2416,
12,46,3,True,1,False,1,0,0,,,,,0.064,
13,49,3,True,1,False,1,0,0,,,,,0.0848,
14,54,4,True,1,False,1,0,0,,,,,0.1164,
15,58,4,True,1,False,1,0,0,,,,,0.109,
16,61,3,True,1,False,1,0,0,,,,,0.108,
17,67,4,True,1,False,1,0,0,,,,,0.1079,
18,74,4,True,1,False,1,0,0,,,,,0.1091,
19,78,4,True,1,False,1,0,0,,,,,0.1095,
20,86,4,True,1,False,1,0,0,,,,,0.0659,
21,89,4,True,1,False,1,0,0,,,,,0.0656,
22,93,4,True,1,False,1,0,0,,,,,0.065,
23,94,4,True,1,False,1,0,0,,,,,0.0642,
24,100,4,True,1,False,1,0,0,,,,,0.0643,
25,106,3,True,1,False,1,0,0,,,,,0.0647,
26,111,4,True,1,False,1,0,0,,,,,0.0643,
27,124,3,True,1,False,1,0,0,,,,,0.0656,
28,127,3,True,1,False,1,0,0,,,,,0.0653,
29,128,4,True,1,False,1,0,0,,,,,0.064,
30,131,4,True,1,False,1,0,0,,,,,0.0641,
31,135,3,True,1,False,1,0,0,,,,,0.2403,
32,136,3,True,1,False,1,0,0,,,,,0.2422,
33,137,4,True,1,False,1,0,0,,,,,0.2438,
34,144,4,True,1,False,1,0,0,,,,,0.2424,
35,148,3,True,1,False,1,0,0,,,,,0.2307,
