rank,fault_index,gate_id,fault_val,classic_backtracks,classic_time_s,ai_time_s,classic_ok,precheck_success,attempts_used
1,1682,8211,4,170,10.4357,0.2595,False,False,1
2,1366,6641,3,159,10.0638,0.54,False,False,1
3,1065,5196,3,154,10.0108,0.6429,False,False,1
4,1574,7622,3,154,10.0062,2.3394,False,False,1
5,1618,7864,4,154,9.6274,9.7433,True,False,1
6,972,4676,3,152,10.0151,4.5234,False,False,1
7,6080,30348,3,152,10.0151,0.8547,False,False,1
8,3091,15119,4,152,9.8852,9.9302,True,False,1
9,4391,21848,4,151,9.7712,0.5546,True,False,1
10,3701,18252,4,151,9.5528,9.7239,True,False,1
11,1490,7282,3,149,10.0048,0.739,False,False,1
12,1300,6356,3,149,10.0022,0.7881,False,False,1
13,1498,7304,3,148,10.1258,0.7788,False,False,1
14,1489,7272,3,148,10.1236,0.9049,False,False,1
15,1520,7385,3,148,10.119,0.7462,False,False,1
16,1478,7248,3,148,10.0109,0.9742,False,False,1
17,4805,23866,3,148,9.4152,10.2183,True,False,1
18,1481,7254,3,146,10.0066,0.751,False,False,1
19,1317,6434,3,146,10.005,0.6898,False,False,1
20,926,4431,4,143,9.1282,9.1225,True,False,1
21,1335,6497,3,142,10.0158,0.6826,False,False,1
22,2344,11640,3,142,8.951,8.9955,True,False,1
23,6305,31458,4,142,8.9499,10.1715,True,False,1
24,1531,7427,3,141,10.0171,0.6506,False,False,1
25,1340,6517,3,139,10.0154,5.8939,False,False,1
26,1310,6401,3,138,10.0504,0.8705,False,False,1
27,927,4432,3,137,8.6843,8.7679,True,False,1
28,5217,25982,4,136,8.9729,9.3035,True,False,1
29,2590,12796,3,136,8.7628,8.6373,True,False,1
30,1479,7250,3,135,10.0404,0.7967,False,False,1
31,1521,7386,3,135,10.0194,0.7422,False,False,1
32,858,4169,3,131,8.4013,8.4522,True,False,1
33,3541,17403,4,130,8.7255,9.4009,True,False,1
34,2801,13785,4,130,8.4455,8.4538,True,False,1
35,2253,11180,4,130,8.344,8.4233,True,False,1
36,1453,7076,4,127,7.9417,7.9434,True,False,1
37,4885,24309,4,123,8.8507,9.6016,True,False,1
38,3536,17370,4,123,7.5815,8.2652,True,False,1
39,3158,15405,4,120,7.8702,7.9565,True,False,1
40,4517,22446,4,120,7.6988,8.3072,True,False,1
41,5101,25426,4,118,7.8186,8.0844,True,False,1
42,5709,28518,3,117,8.1965,8.6388,True,False,1
43,0,3,4,115,7.8414,7.7816,True,False,1
44,1461,7111,4,115,7.4713,7.5087,True,False,1
45,1466,7153,3,115,7.4557,7.5756,True,False,1
46,1465,7146,3,115,7.455,7.5586,True,False,1
47,1257,6150,3,115,7.4332,7.441,True,False,1
48,1,14,3,115,7.4309,7.6976,True,False,1
49,1462,7119,4,115,7.4107,7.5684,True,False,1
50,1258,6155,3,115,7.3677,7.4361,True,False,1
51,1260,6163,3,115,7.3648,7.4214,True,False,1
52,4286,21351,4,115,7.3188,7.3893,True,False,1
53,4285,21347,4,115,7.2333,7.3679,True,False,1
54,605,2934,4,114,7.6327,7.7317,True,False,1
55,4519,22449,4,114,7.3529,8.0471,True,False,1
56,2876,14117,3,114,7.298,7.2471,True,False,1
57,3587,17626,3,106,6.872,6.95,True,False,1
58,615,2968,3,106,6.8569,6.851,True,False,1
59,6051,30160,4,106,6.8331,8.5406,True,False,1
60,3986,19745,4,104,6.8009,6.8954,True,False,1
61,1485,7262,4,102,7.0431,7.0491,True,False,1
62,2589,12793,3,102,6.7849,6.9575,True,False,1
63,5970,29780,4,102,6.6947,8.2913,True,False,1
64,921,4416,4,100,6.6714,6.7071,True,False,1
65,2372,11766,3,100,6.6081,6.7311,True,False,1
66,1305,6381,4,99,6.7143,1.5063,True,False,1
67,618,2975,3,98,6.4159,6.4882,True,False,1
68,1062,5183,3,97,6.3306,6.3631,True,False,1
69,607,2937,4,96,6.6259,6.651,True,False,1
70,4245,21110,3,96,6.4078,6.5081,True,False,1
71,4093,20321,3,94,6.1781,7.8895,True,False,1
72,924,4424,4,94,6.1649,6.2545,True,False,1
73,731,3547,3,94,6.154,6.2097,True,False,1
74,2375,11777,4,92,6.2874,6.3503,True,False,1
75,2505,12413,4,90,6.2408,6.3506,True,False,1
76,1455,7084,3,90,6.0214,6.0755,True,False,1
77,1615,7852,3,90,5.7978,5.8902,True,False,1
78,2799,13782,3,88,6.1098,6.1172,True,False,1
79,623,3008,4,88,6.0866,6.1542,True,False,1
80,4401,21890,4,88,5.8913,7.1368,True,False,1
81,5648,28195,3,85,5.7092,6.8344,True,False,1
82,4636,23045,3,83,5.6512,6.4877,True,False,1
83,620,2985,4,82,5.5587,5.5327,True,False,1
84,1997,9781,4,82,5.5428,5.6576,True,False,1
85,5496,27406,4,82,5.3687,6.6133,True,False,1
86,5374,26756,4,78,5.0825,6.3218,True,False,1
87,5734,28604,4,77,4.9135,5.756,True,False,1
88,3181,15568,3,76,5.1759,5.2753,True,False,1
89,4314,21465,3,76,5.05,5.0321,True,False,1
90,625,3013,4,74,5.3597,5.3996,True,False,1
91,3077,15047,4,74,5.3311,5.291,True,False,1
92,3076,15047,3,74,5.2827,4.9562,True,False,1
93,2974,14503,4,74,4.9026,4.9165,True,False,1
94,1681,8209,3,74,4.6618,0.3424,True,False,1
95,1018,4933,4,71,4.5214,4.5555,True,False,1
96,4462,22180,3,70,4.7925,4.8175,True,False,1
