fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_backtracks,classic_ok,classic_backtracks,ai_less_backtracks,ai_error,time_s,classic_time_s
0,3,4,True,1,False,1,0,115,True,115,False,,7.7816,7.8414
1,14,3,True,1,False,1,0,115,True,115,False,,7.6976,7.4309
2,25,3,True,1,False,1,0,0,True,0,False,,0.556,0.5532
3,26,3,True,1,False,1,0,0,True,0,False,,0.5509,0.5508
4,29,3,True,1,False,1,0,0,True,0,False,,0.5613,0.5554
5,30,3,True,1,False,1,0,0,True,0,False,,0.56,0.5461
6,33,4,True,1,False,1,0,0,True,0,False,,0.5745,0.5793
7,35,4,True,1,False,1,0,7,True,7,False,,0.7311,0.7498
8,36,3,True,1,False,1,0,0,True,0,False,,0.1025,0.0986
9,42,3,True,1,False,1,0,0,True,0,False,,0.229,0.2268
10,43,3,True,1,False,1,0,0,True,0,False,,0.2294,0.2254
11,43,4,True,1,False,1,0,0,True,0,False,,0.229,0.2256
12,46,3,True,1,False,1,0,0,True,0,False,,0.0613,0.0577
13,49,3,True,1,False,1,0,0,True,0,False,,0.0828,0.0782
14,54,4,True,1,False,1,0,0,True,0,False,,0.1044,0.0994
15,58,4,True,1,False,1,0,0,True,0,False,,0.103,0.1006
16,61,3,True,1,False,1,0,0,True,0,False,,0.1029,0.1007
17,67,4,True,1,False,1,0,0,True,0,False,,0.1033,0.1004
18,74,4,True,1,False,1,0,0,True,0,False,,0.1034,0.1178
19,78,4,True,1,False,1,0,0,True,0,False,,0.1032,0.1002
20,86,4,True,1,False,1,0,0,True,0,False,,0.0651,0.0581
21,89,4,True,1,False,1,0,0,True,0,False,,0.0614,0.0589
22,93,4,True,1,False,1,0,0,True,0,False,,0.0628,0.0586
23,94,4,True,1,False,1,0,0,True,0,False,,0.0619,0.0582
24,100,4,True,1,False,1,0,0,True,0,False,,0.0615,0.0582
25,106,3,True,1,False,1,0,0,True,0,False,,0.0738,0.0644
26,111,4,True,1,False,1,0,0,True,0,False,,0.0618,0.057
27,124,3,True,1,False,1,0,0,True,0,False,,0.0609,0.0576
28,127,3,True,1,False,1,0,0,True,0,False,,0.0599,0.0569
29,128,4,True,1,False,1,0,0,True,0,False,,0.0601,0.059
30,131,4,True,1,False,1,0,0,True,0,False,,0.0603,0.0585
31,135,3,True,1,False,1,0,0,True,0,False,,0.2245,0.2216
32,136,3,True,1,False,1,0,0,True,0,False,,0.2242,0.2192
33,137,4,True,1,False,1,0,0,True,0,False,,0.2253,0.222
34,144,4,True,1,False,1,0,0,True,0,False,,0.2251,0.2218
35,148,3,True,1,False,1,0,0,True,0,False,,0.2236,0.2223
36,152,4,True,1,False,1,0,0,True,0,False,,0.249,0.2468
37,153,3,True,1,False,1,0,0,True,0,False,,0.2499,0.2465
38,156,3,True,1,False,1,0,0,True,0,False,,0.2575,0.2678
39,164,3,True,1,False,1,0,0,True,0,False,,0.252,0.245
40,166,4,True,1,False,1,0,0,True,0,False,,0.2501,0.2448
41,167,3,True,1,False,1,0,0,True,0,False,,0.2485,0.2442
42,167,4,True,1,False,1,0,0,True,0,False,,0.2508,0.2462
43,178,4,True,1,False,1,0,0,True,0,False,,0.2481,0.2438
44,183,3,True,1,False,1,0,0,True,0,False,,0.4141,0.4133
45,185,4,True,1,False,1,0,0,True,0,False,,0.4198,0.4123
46,197,4,True,1,False,1,0,0,True,0,False,,0.4151,0.4323
47,198,4,True,1,False,1,0,0,True,0,False,,0.4175,0.4162
48,217,4,True,1,False,1,0,0,True,0,False,,0.082,0.0788
49,220,4,True,1,False,1,0,0,True,0,False,,0.0825,0.0794
50,223,4,True,1,False,1,0,0,True,0,False,,0.0824,0.0786
51,224,4,True,1,False,1,0,0,True,0,False,,0.0826,0.0798
52,249,3,True,1,False,1,0,0,True,0,False,,0.0833,0.0797
53,252,4,True,1,False,1,0,0,True,0,False,,0.0826,0.0804
54,253,3,True,1,False,1,0,0,True,0,False,,0.0842,0.0811
55,258,4,True,1,False,1,0,0,True,0,False,,0.0837,0.0809
56,281,3,True,1,False,1,0,0,True,0,False,,0.0849,0.0808
57,282,3,True,1,False,1,0,0,True,0,False,,0.085,0.0806
58,284,4,True,1,False,1,0,0,True,0,False,,0.0831,0.0828
59,287,3,True,1,False,1,0,0,True,0,False,,0.1042,0.1003
60,290,4,True,1,False,1,0,0,True,0,False,,0.1028,0.1018
61,300,4,True,1,False,1,0,0,True,0,False,,0.1029,0.1015
62,305,3,True,1,False,1,0,0,True,0,False,,0.1033,0.1006
63,305,4,True,1,False,1,0,0,True,0,False,,0.1024,0.1002
64,306,3,True,1,False,1,0,0,True,0,False,,0.1031,0.0993
65,306,4,True,1,False,1,0,0,True,0,False,,0.1033,0.0993
66,309,3,True,1,False,1,0,0,True,0,False,,0.1032,0.0988
67,316,4,True,1,False,1,0,0,True,0,False,,0.1035,0.0998
68,325,3,True,1,False,1,0,0,True,0,False,,0.0818,0.0808
69,335,3,True,1,False,1,0,0,True,0,False,,0.0817,0.077
70,336,3,True,1,False,1,0,0,True,0,False,,0.0823,0.0881
71,342,3,True,1,False,1,0,0,True,0,False,,0.0903,0.0784
72,346,3,True,1,False,1,0,0,True,0,False,,0.0815,0.0784
73,355,3,True,1,False,1,0,0,True,0,False,,0.0592,0.057
74,357,3,True,1,False,1,0,0,True,0,False,,0.0589,0.0576
75,359,4,True,1,False,1,0,0,True,0,False,,0.0611,0.0613
76,387,4,True,1,False,1,0,0,True,0,False,,0.2083,0.206
77,412,4,True,1,False,1,0,0,True,0,False,,0.0616,0.0586
78,415,4,True,1,False,1,0,0,True,0,False,,0.0618,0.0639
79,418,3,True,1,False,1,0,0,True,0,False,,0.0616,0.0583
80,419,4,True,1,False,1,0,0,True,0,False,,0.0621,0.0582
81,424,3,True,1,False,1,0,0,True,0,False,,0.0843,0.0789
82,431,4,True,1,False,1,0,0,True,0,False,,0.082,0.0787
83,438,4,True,1,False,1,0,0,True,0,False,,0.0815,0.0782
84,442,3,True,1,False,1,0,0,True,0,False,,0.0828,0.0792
85,450,3,True,1,False,1,0,0,True,0,False,,0.0826,0.0792
86,452,4,True,1,False,1,0,0,True,0,False,,0.083,0.0798
87,455,4,True,1,False,1,0,0,True,0,False,,0.0853,0.0798
88,461,4,True,1,False,1,0,0,True,0,False,,0.1028,0.1014
89,462,4,True,1,False,1,0,0,True,0,False,,0.1081,0.1008
90,468,4,True,1,False,1,0,0,True,0,False,,0.1029,0.0998
91,470,3,True,1,False,1,0,0,True,0,False,,0.1026,0.098
92,474,4,True,1,False,1,0,0,True,0,False,,0.1044,0.0998
93,476,4,True,1,False,1,0,0,True,0,False,,0.1024,0.0997
94,479,3,True,1,False,1,0,0,True,0,False,,0.1072,0.1114
95,485,3,True,1,False,1,0,0,True,0,False,,0.1012,0.0988
96,485,4,True,1,False,1,0,0,True,0,False,,0.1006,0.0994
97,488,4,True,1,False,1,0,0,True,0,False,,0.1028,0.1013
98,496,3,True,1,False,1,0,0,True,0,False,,0.1048,0.1008
99,507,3,True,1,False,1,0,0,True,0,False,,0.1247,0.102
100,517,3,True,1,False,1,0,0,True,0,False,,0.1121,0.1022
101,523,3,True,1,False,1,0,0,True,0,False,,0.1044,0.1026
102,524,4,True,1,False,1,0,0,True,0,False,,0.1055,0.0993
103,525,4,True,1,False,1,0,0,True,0,False,,0.1057,0.1002
104,526,4,True,1,False,1,0,0,True,0,False,,0.1033,0.1012
105,529,4,True,1,False,1,0,0,True,0,False,,0.1051,0.1003
106,537,4,True,1,False,1,0,0,True,0,False,,0.1032,0.1002
107,546,3,True,1,False,1,0,0,True,0,False,,0.1034,0.1005
108,563,4,True,1,False,1,0,0,True,0,False,,0.1015,0.0975
109,566,3,True,1,False,1,0,0,True,0,False,,0.1044,0.1013
110,578,3,True,1,False,1,0,0,True,0,False,,0.104,0.0997
111,581,4,True,1,False,1,0,0,True,0,False,,0.0612,0.0627
112,583,3,True,1,False,1,0,0,True,0,False,,0.0735,0.0612
113,587,3,True,1,False,1,0,0,True,0,False,,0.0656,0.064
114,596,4,True,1,False,1,0,0,True,0,False,,0.0854,0.0823
115,601,4,True,1,False,1,0,0,True,0,False,,0.086,0.0806
