fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
0,1,3,True,0,False,0,0,0.0,0.0,0.0,0.0936,1,0,True,1,0,4,,,0.0936,0.0936
1,1,4,True,0,False,0,0,0.0,0.0,0.0,0.0787,1,0,True,1,0,4,,,0.0787,0.0787
2,2,3,True,0,False,0,0,0.0,0.0,0.0,7.8184,1,115,True,1,115,255,,,7.8184,7.8184
3,2,4,True,0,False,0,0,0.0,0.0,0.0,7.7419,1,115,True,1,115,255,,,7.7419,7.7419
4,3,3,True,0,False,0,0,0.0,0.0,0.0,7.7469,1,115,True,1,115,255,,,7.7469,7.7469
5,3,4,True,0,False,0,0,0.0,0.0,0.0,7.264,1,115,True,1,115,255,,,7.264,7.264
6,4,3,True,0,False,0,0,0.0,0.0,0.0,7.3818,1,115,True,1,115,255,,,7.3818,7.3818
7,4,4,True,0,False,0,0,0.0,0.0,0.0,7.4678,1,115,True,1,115,255,,,7.4678,7.4678
8,5,3,True,0,False,0,0,0.0,0.0,0.0,7.4541,1,115,True,1,115,255,,,7.4541,7.4541
9,5,4,True,0,False,0,0,0.0,0.0,0.0,7.3623,1,115,True,1,115,255,,,7.3623,7.3623
10,6,3,True,0,False,0,0,0.0,0.0,0.0,7.2955,1,115,True,1,115,255,,,7.2955,7.2955
11,6,4,True,0,False,0,0,0.0,0.0,0.0,7.3304,1,115,True,1,115,255,,,7.3304,7.3304
12,7,3,True,0,False,0,0,0.0,0.0,0.0,7.508,1,115,True,1,115,255,,,7.508,7.508
13,7,4,True,0,False,0,0,0.0,0.0,0.0,7.5023,1,115,True,1,115,255,,,7.5023,7.5023
14,8,3,True,0,False,0,0,0.0,0.0,0.0,7.3493,1,115,True,1,115,255,,,7.3493,7.3493
15,8,4,True,0,False,0,0,0.0,0.0,0.0,7.25,1,115,True,1,115,255,,,7.25,7.25
16,9,3,True,0,False,0,0,0.0,0.0,0.0,7.4976,1,115,True,1,115,255,,,7.4976,7.4976
17,9,4,True,0,False,0,0,0.0,0.0,0.0,7.265,1,115,True,1,115,255,,,7.265,7.265
18,10,3,True,0,False,0,0,0.0,0.0,0.0,7.264,1,115,True,1,115,255,,,7.264,7.264
19,10,4,True,0,False,0,0,0.0,0.0,0.0,7.4941,1,115,True,1,115,255,,,7.4941,7.4941
20,11,3,True,0,False,0,0,0.0,0.0,0.0,7.4251,1,115,True,1,115,255,,,7.4251,7.4251
21,11,4,True,0,False,0,0,0.0,0.0,0.0,7.2774,1,115,True,1,115,255,,,7.2774,7.2774
22,12,3,True,0,False,0,0,0.0,0.0,0.0,7.3087,1,115,True,1,115,255,,,7.3087,7.3087
23,12,4,True,0,False,0,0,0.0,0.0,0.0,7.356,1,115,True,1,115,255,,,7.356,7.356
24,13,3,True,0,False,0,0,0.0,0.0,0.0,7.3582,1,115,True,1,115,255,,,7.3582,7.3582
25,13,4,True,0,False,0,0,0.0,0.0,0.0,7.4481,1,115,True,1,115,255,,,7.4481,7.4481
26,14,3,True,0,False,0,0,0.0,0.0,0.0,7.424,1,115,True,1,115,255,,,7.424,7.424
27,14,4,True,0,False,0,0,0.0,0.0,0.0,7.459,1,115,True,1,115,255,,,7.459,7.459
28,15,3,True,0,False,0,0,0.0,0.0,0.0,7.3644,1,115,True,1,115,255,,,7.3644,7.3644
29,15,4,True,0,False,0,0,0.0,0.0,0.0,7.3641,1,115,True,1,115,255,,,7.3641,7.3641
30,16,3,True,0,False,0,0,0.0,0.0,0.0,7.3768,1,115,True,1,115,255,,,7.3768,7.3768
31,16,4,True,0,False,0,0,0.0,0.0,0.0,7.5568,1,115,True,1,115,255,,,7.5568,7.5568
32,17,3,True,0,False,0,0,0.0,0.0,0.0,7.5564,1,115,True,1,115,255,,,7.5564,7.5564
33,17,4,True,0,False,0,0,0.0,0.0,0.0,7.6119,1,115,True,1,115,255,,,7.6119,7.6119
34,18,3,True,0,False,0,0,0.0,0.0,0.0,1.1628,1,10,True,1,10,46,,,1.1628,1.1628
35,18,4,True,0,False,0,0,0.0,0.0,0.0,1.1269,1,10,True,1,10,46,,,1.1269,1.1269
36,19,3,True,0,False,0,0,0.0,0.0,0.0,0.5403,1,0,True,1,0,27,,,0.5403,0.5403
37,19,4,True,0,False,0,0,0.0,0.0,0.0,0.5787,1,0,True,1,0,27,,,0.5787,0.5787
