fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
0,1,3,True,0,False,0,0,0.0,0.0,0.0,0.0917,1,0,True,1,0,4,,,0.0917,0.0917
1,1,4,True,0,False,0,0,0.0,0.0,0.0,0.0811,1,0,True,1,0,4,,,0.0811,0.0811
2,2,3,True,0,False,0,0,0.0,0.0,0.0,7.6187,1,115,True,1,115,255,,,7.6187,7.6187
3,2,4,True,0,False,0,0,0.0,0.0,0.0,7.4983,1,115,True,1,115,255,,,7.4983,7.4983
4,3,3,True,0,False,0,0,0.0,0.0,0.0,7.3647,1,115,True,1,115,255,,,7.3647,7.3647
5,3,4,True,0,False,0,0,0.0,0.0,0.0,7.089,1,115,True,1,115,255,,,7.089,7.089
6,4,3,True,0,False,0,0,0.0,0.0,0.0,7.129,1,115,True,1,115,255,,,7.129,7.129
7,4,4,True,0,False,0,0,0.0,0.0,0.0,7.1484,1,115,True,1,115,255,,,7.1484,7.1484
8,5,3,True,0,False,0,0,0.0,0.0,0.0,7.2016,1,115,True,1,115,255,,,7.2016,7.2016
9,5,4,True,0,False,0,0,0.0,0.0,0.0,7.2135,1,115,True,1,115,255,,,7.2135,7.2135
10,6,3,True,0,False,0,0,0.0,0.0,0.0,7.19,1,115,True,1,115,255,,,7.19,7.19
11,6,4,True,0,False,0,0,0.0,0.0,0.0,7.1046,1,115,True,1,115,255,,,7.1046,7.1046
12,7,3,True,0,False,0,0,0.0,0.0,0.0,7.2069,1,115,True,1,115,255,,,7.2069,7.2069
13,7,4,True,0,False,0,0,0.0,0.0,0.0,7.1063,1,115,True,1,115,255,,,7.1063,7.1063
14,8,3,True,0,False,0,0,0.0,0.0,0.0,7.0714,1,115,True,1,115,255,,,7.0714,7.0714
15,8,4,True,0,False,0,0,0.0,0.0,0.0,7.1345,1,115,True,1,115,255,,,7.1345,7.1345
16,9,3,True,0,False,0,0,0.0,0.0,0.0,7.0732,1,115,True,1,115,255,,,7.0732,7.0732
17,9,4,True,0,False,0,0,0.0,0.0,0.0,7.1294,1,115,True,1,115,255,,,7.1294,7.1294
18,10,3,True,0,False,0,0,0.0,0.0,0.0,7.1532,1,115,True,1,115,255,,,7.1532,7.1532
19,10,4,True,0,False,0,0,0.0,0.0,0.0,7.1103,1,115,True,1,115,255,,,7.1103,7.1103
20,11,3,True,0,False,0,0,0.0,0.0,0.0,7.0928,1,115,True,1,115,255,,,7.0928,7.0928
21,11,4,True,0,False,0,0,0.0,0.0,0.0,7.0899,1,115,True,1,115,255,,,7.0899,7.0899
22,12,3,True,0,False,0,0,0.0,0.0,0.0,7.0463,1,115,True,1,115,255,,,7.0463,7.0463
23,12,4,True,0,False,0,0,0.0,0.0,0.0,7.1098,1,115,True,1,115,255,,,7.1098,7.1098
24,13,3,True,0,False,0,0,0.0,0.0,0.0,7.3036,1,115,True,1,115,255,,,7.3036,7.3036
25,13,4,True,0,False,0,0,0.0,0.0,0.0,7.4479,1,115,True,1,115,255,,,7.4479,7.4479
26,14,3,True,0,False,0,0,0.0,0.0,0.0,7.181,1,115,True,1,115,255,,,7.181,7.181
27,14,4,True,0,False,0,0,0.0,0.0,0.0,7.337,1,115,True,1,115,255,,,7.337,7.337
28,15,3,True,0,False,0,0,0.0,0.0,0.0,7.2709,1,115,True,1,115,255,,,7.2709,7.2709
29,15,4,True,0,False,0,0,0.0,0.0,0.0,7.6992,1,115,True,1,115,255,,,7.6992,7.6992
30,16,3,True,0,False,0,0,0.0,0.0,0.0,7.3658,1,115,True,1,115,255,,,7.3658,7.3658
31,16,4,True,0,False,0,0,0.0,0.0,0.0,7.1732,1,115,True,1,115,255,,,7.1732,7.1732
32,17,3,True,0,False,0,0,0.0,0.0,0.0,7.223,1,115,True,1,115,255,,,7.223,7.223
33,17,4,True,0,False,0,0,0.0,0.0,0.0,7.2677,1,115,True,1,115,255,,,7.2677,7.2677
34,18,3,True,0,False,0,0,0.0,0.0,0.0,1.1007,1,10,True,1,10,46,,,1.1007,1.1007
35,18,4,True,0,False,0,0,0.0,0.0,0.0,1.0845,1,10,True,1,10,46,,,1.0845,1.0845
36,19,3,True,0,False,0,0,0.0,0.0,0.0,0.5807,1,0,True,1,0,27,,,0.5807,0.5807
37,19,4,True,0,False,0,0,0.0,0.0,0.0,0.5609,1,0,True,1,0,27,,,0.5609,0.5609
38,20,3,True,0,False,0,0,0.0,0.0,0.0,0.5479,1,0,True,1,0,27,,,0.5479,0.5479
39,20,4,True,0,False,0,0,0.0,0.0,0.0,0.5606,1,0,True,1,0,27,,,0.5606,0.5606
40,21,3,True,0,False,0,0,0.0,0.0,0.0,0.5393,1,0,True,1,0,27,,,0.5393,0.5393
41,21,4,True,0,False,0,0,0.0,0.0,0.0,0.5438,1,0,True,1,0,27,,,0.5438,0.5438
42,22,3,True,0,False,0,0,0.0,0.0,0.0,0.54,1,0,True,1,0,27,,,0.54,0.54
43,22,4,True,0,False,0,0,0.0,0.0,0.0,0.5642,1,0,True,1,0,27,,,0.5642,0.5642
44,23,3,True,0,False,0,0,0.0,0.0,0.0,0.5501,1,0,True,1,0,27,,,0.5501,0.5501
45,23,4,True,0,False,0,0,0.0,0.0,0.0,0.5447,1,0,True,1,0,27,,,0.5447,0.5447
46,24,3,True,0,False,0,0,0.0,0.0,0.0,0.5367,1,0,True,1,0,27,,,0.5367,0.5367
47,24,4,True,0,False,0,0,0.0,0.0,0.0,0.5538,1,0,True,1,0,27,,,0.5538,0.5538
48,25,3,True,0,False,0,0,0.0,0.0,0.0,0.5367,1,0,True,1,0,27,,,0.5367,0.5367
49,25,4,True,0,False,0,0,0.0,0.0,0.0,0.5281,1,0,True,1,0,27,,,0.5281,0.5281
50,26,3,True,0,False,0,0,0.0,0.0,0.0,0.5549,1,0,True,1,0,27,,,0.5549,0.5549
51,26,4,True,0,False,0,0,0.0,0.0,0.0,0.5196,1,0,True,1,0,27,,,0.5196,0.5196
52,27,3,True,0,False,0,0,0.0,0.0,0.0,0.5313,1,0,True,1,0,27,,,0.5313,0.5313
53,27,4,True,0,False,0,0,0.0,0.0,0.0,0.5277,1,0,True,1,0,27,,,0.5277,0.5277
54,28,3,True,0,False,0,0,0.0,0.0,0.0,0.5302,1,0,True,1,0,27,,,0.5302,0.5302
55,28,4,True,0,False,0,0,0.0,0.0,0.0,0.5249,1,0,True,1,0,27,,,0.5249,0.5249
56,29,3,True,0,False,0,0,0.0,0.0,0.0,0.5192,1,0,True,1,0,27,,,0.5192,0.5192
57,29,4,True,0,False,0,0,0.0,0.0,0.0,0.521,1,0,True,1,0,27,,,0.521,0.521
58,30,3,True,0,False,0,0,0.0,0.0,0.0,0.5253,1,0,True,1,0,27,,,0.5253,0.5253
59,30,4,True,0,False,0,0,0.0,0.0,0.0,0.518,1,0,True,1,0,27,,,0.518,0.518
60,31,3,True,0,False,0,0,0.0,0.0,0.0,0.5204,1,0,True,1,0,27,,,0.5204,0.5204
61,31,4,True,0,False,0,0,0.0,0.0,0.0,0.5181,1,0,True,1,0,27,,,0.5181,0.5181
62,32,3,True,0,False,0,0,0.0,0.0,0.0,0.531,1,0,True,1,0,27,,,0.531,0.531
63,32,4,True,0,False,0,0,0.0,0.0,0.0,0.5333,1,0,True,1,0,27,,,0.5333,0.5333
64,33,3,True,0,False,0,0,0.0,0.0,0.0,0.5425,1,0,True,1,0,27,,,0.5425,0.5425
65,33,4,True,0,False,0,0,0.0,0.0,0.0,0.5276,1,0,True,1,0,27,,,0.5276,0.5276
66,34,3,True,0,False,0,0,0.0,0.0,0.0,0.1181,1,0,True,1,0,6,,,0.1181,0.1181
67,34,4,True,0,False,0,0,0.0,0.0,0.0,0.1186,1,0,True,1,0,6,,,0.1186,0.1186
68,35,3,True,0,False,0,0,0.0,0.0,0.0,0.7008,1,7,True,1,7,28,,,0.7008,0.7008
69,35,4,True,0,False,0,0,0.0,0.0,0.0,0.6999,1,7,True,1,7,28,,,0.6999,0.6999
70,36,3,True,0,False,0,0,0.0,0.0,0.0,0.0984,1,0,True,1,0,5,,,0.0984,0.0984
71,36,4,True,0,False,0,0,0.0,0.0,0.0,0.0982,1,0,True,1,0,5,,,0.0982,0.0982
72,37,3,True,0,False,0,0,0.0,0.0,0.0,0.8381,1,0,True,1,0,42,,,0.8381,0.8381
73,37,4,True,0,False,0,0,0.0,0.0,0.0,0.8361,1,0,True,1,0,42,,,0.8361,0.8361
74,38,3,True,0,False,0,0,0.0,0.0,0.0,0.1356,1,0,True,1,0,7,,,0.1356,0.1356
