fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
0,3853,3,True,1,True,1,4,0.2979,0.0687,0.0,0.1297,1,0,True,1,0,5,,,0.619,0.1151
1,3853,4,True,1,True,1,5,0.0089,0.0676,0.0,0.1,1,0,True,1,0,5,,,0.2896,0.1055
2,3855,3,True,1,True,1,4,0.0217,0.0684,0.0,0.1016,1,0,True,1,0,5,,,0.2972,0.0976
3,3855,4,True,1,True,1,4,0.0133,0.0676,0.0,0.0977,1,0,True,1,0,5,,,0.2892,0.1021
4,3869,3,True,1,True,1,4,0.0052,0.0339,0.0,0.0,1,0,True,1,0,3,,,0.1005,0.0571
5,3869,4,True,1,True,1,4,0.0052,0.0334,0.0,0.0,1,0,True,1,0,5,,,0.144,0.1011
6,3874,3,False,1,False,1,18,0.0092,0.0711,0.0,0.567,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,2.1006,1.4455
7,3874,4,False,1,False,1,18,0.0091,0.0687,0.0,0.5692,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,2.0844,1.4296
8,3878,3,True,1,True,1,7,0.0093,0.0659,0.0,0.1974,1,0,True,1,0,8,,,0.4458,0.1649
9,3878,4,True,1,True,1,7,0.01,0.0671,0.0,0.1983,1,0,True,1,0,8,,,0.4552,0.1712
10,3879,3,True,1,True,1,6,0.0092,0.0665,0.0,0.1637,1,0,True,1,0,7,,,0.3936,0.1457
11,3879,4,True,1,True,1,5,0.0132,0.0681,0.0,0.1672,1,0,True,1,0,6,,,0.3769,0.1206
12,3883,3,False,1,False,1,12,0.0133,0.0679,0.0,0.3433,0,0,True,1,0,34,,strict no-fallback: direct AI assignment did not detect fault,1.1502,0.7179
13,3883,4,False,1,False,1,11,0.0136,0.0681,0.0,0.3449,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1247,0.6902
14,3889,3,False,1,False,1,12,0.0096,0.0709,0.0,0.368,0,0,True,1,0,30,,strict no-fallback: direct AI assignment did not detect fault,1.087,0.6305
15,3889,4,False,1,False,1,12,0.0094,0.0686,0.0,0.3712,0,0,True,1,0,30,,strict no-fallback: direct AI assignment did not detect fault,1.0886,0.632
16,3891,3,True,1,True,1,20,0.0093,0.0697,0.0,0.6383,1,0,True,1,0,21,,,1.1663,0.4414
17,3891,4,True,1,True,1,20,0.0097,0.0682,0.0,0.6343,1,0,True,1,0,21,,,1.1744,0.4543
18,3893,3,True,1,True,1,8,0.0095,0.069,0.0,0.2371,1,0,True,1,0,9,,,0.509,0.1859
19,3893,4,False,1,False,1,3,0.0095,0.0674,0.0,0.0666,0,0,True,1,2,14,,strict no-fallback: direct AI assignment did not detect fault,0.4908,0.3397
20,3895,3,False,1,False,1,11,0.0093,0.0673,0.0,0.3295,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1159,0.7023
