fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
0,3853,3,True,1,True,1,4,0.2759,0.0684,0.0,0.1298,1,0,True,1,0,5,,,0.5922,0.1104
1,3853,4,True,1,True,1,5,0.0092,0.0678,0.0,0.0989,1,0,True,1,0,5,,,0.2909,0.1071
2,3855,3,True,1,True,1,4,0.0227,0.067,0.0,0.1006,1,0,True,1,0,5,,,0.3008,0.1018
3,3855,4,True,1,True,1,4,0.0143,0.068,0.0,0.0992,1,0,True,1,0,5,,,0.2932,0.1034
4,3869,3,True,1,True,1,4,0.0059,0.035,0.0,0.0,1,0,True,1,0,3,,,0.1051,0.0599
5,3869,4,True,1,True,1,4,0.0056,0.0335,0.0,0.0,1,0,True,1,0,5,,,0.1433,0.1004
6,3874,3,False,1,False,1,18,0.0094,0.0694,0.0,0.5626,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,2.0833,1.4338
7,3874,4,False,1,False,1,18,0.0105,0.0687,0.0,0.5629,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,2.0823,1.432
8,3878,3,True,1,True,1,7,0.0099,0.0685,0.0,0.1947,1,0,True,1,0,8,,,0.4464,0.1645
9,3878,4,True,1,True,1,7,0.0101,0.0708,0.0,0.1951,1,0,True,1,0,8,,,0.4532,0.1688
10,3879,3,True,1,True,1,6,0.0098,0.068,0.0,0.1639,1,0,True,1,0,7,,,0.3988,0.1489
11,3879,4,True,1,True,1,5,0.0132,0.068,0.0,0.1635,1,0,True,1,0,6,,,0.3724,0.1199
12,3883,3,False,1,False,1,12,0.0135,0.0701,0.0,0.3343,0,0,True,1,0,34,,strict no-fallback: direct AI assignment did not detect fault,1.1373,0.7112
13,3883,4,False,1,False,1,11,0.0152,0.0687,0.0,0.3348,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1135,0.6869
14,3889,3,False,1,False,1,12,0.0096,0.0673,0.0,0.3651,0,0,True,1,0,30,,strict no-fallback: direct AI assignment did not detect fault,1.0825,0.6328
15,3889,4,False,1,False,1,12,0.0103,0.068,0.0,0.3608,0,0,True,1,0,30,,strict no-fallback: direct AI assignment did not detect fault,1.0838,0.6366
16,3891,3,True,1,True,1,20,0.0096,0.0677,0.0,0.6266,1,0,True,1,0,21,,,1.1494,0.4373
17,3891,4,True,1,True,1,20,0.0099,0.0675,0.0,0.6198,1,0,True,1,0,21,,,1.1547,0.4495
18,3893,3,True,1,True,1,8,0.0097,0.066,0.0,0.2318,1,0,True,1,0,9,,,0.5007,0.1845
19,3893,4,False,1,False,1,3,0.0104,0.0675,0.0,0.0653,0,0,True,1,2,14,,strict no-fallback: direct AI assignment did not detect fault,0.4885,0.3375
20,3895,3,False,1,False,1,11,0.0103,0.0662,0.0,0.3284,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1054,0.6925
21,3895,4,False,1,False,1,11,0.0094,0.067,0.0,0.3277,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1005,0.6885
22,3900,3,True,1,True,1,11,0.0107,0.0671,0.0,0.3014,1,0,True,1,0,12,,,0.6434,0.2558
23,3900,4,True,1,True,1,11,0.0113,0.0677,0.0,0.3023,1,0,True,1,0,12,,,0.6437,0.2544
24,3907,3,True,1,True,1,11,0.0103,0.0674,0.0,0.2957,1,0,True,1,0,12,,,0.6351,0.2528
25,3907,4,True,1,True,1,11,0.0105,0.0651,0.0,0.2667,1,0,True,1,0,12,,,0.5952,0.2443
26,3913,3,False,1,False,1,48,0.0405,0.0641,0.0,1.4178,0,0,False,2,317,690,,strict no-fallback: direct AI assignment did not detect fault,21.669,20.1386
27,3913,4,False,1,False,1,48,0.0352,0.0648,0.0,1.4445,0,0,False,2,325,709,,strict no-fallback: direct AI assignment did not detect fault,21.5693,20.0168
28,3915,3,True,1,True,1,27,0.0103,0.0635,0.0,0.807,1,0,True,1,0,28,,,1.4414,0.5529
29,3915,4,True,1,True,1,27,0.013,0.0654,0.0,0.817,1,0,True,1,0,28,,,1.4651,0.5616
