fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
0,3853,3,True,1,True,1,4,0.2743,0.0737,0.0,0.1432,1,0,True,1,0,5,,,0.6201,0.1211
1,3853,4,True,1,True,1,5,0.0101,0.0712,0.0,0.1044,1,0,True,1,0,5,,,0.3058,0.1122
2,3855,3,True,1,True,1,4,0.0236,0.0725,0.0,0.1055,1,0,True,1,0,5,,,0.3198,0.11
3,3855,4,True,1,True,1,4,0.0142,0.0679,0.0,0.1028,1,0,True,1,0,5,,,0.3097,0.1159
4,3869,3,True,1,True,1,4,0.0082,0.0453,0.0,0.0,1,0,True,1,0,3,,,0.1235,0.0658
5,3869,4,True,1,True,1,4,0.0059,0.0346,0.0,0.0,1,0,True,1,0,5,,,0.1525,0.1082
6,3874,3,False,1,False,1,18,0.0103,0.0699,0.0,0.6506,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,2.2699,1.5313
7,3874,4,False,1,False,1,18,0.0098,0.071,0.0,0.6009,0,0,True,1,12,56,,strict no-fallback: direct AI assignment did not detect fault,2.221,1.5314
8,3878,3,True,1,True,1,7,0.0115,0.0726,0.0,0.2129,1,0,True,1,0,8,,,0.4869,0.1806
9,3878,4,True,1,True,1,7,0.0112,0.0694,0.0,0.2153,1,0,True,1,0,8,,,0.503,0.1989
10,3879,3,True,1,True,1,6,0.01,0.0706,0.0,0.1705,1,0,True,1,0,7,,,0.4179,0.159
11,3879,4,True,1,True,1,5,0.0192,0.0703,0.0,0.1776,1,0,True,1,0,6,,,0.4099,0.1332
12,3883,3,False,1,False,1,12,0.0139,0.0701,0.0,0.34,0,0,True,1,0,34,,strict no-fallback: direct AI assignment did not detect fault,1.1919,0.7601
13,3883,4,False,1,False,1,11,0.0152,0.0717,0.0,0.3494,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1702,0.7262
14,3889,3,False,1,False,1,12,0.0098,0.0841,0.0,0.3817,0,0,True,1,0,30,,strict no-fallback: direct AI assignment did not detect fault,1.1548,0.6714
15,3889,4,False,1,False,1,12,0.0098,0.0696,0.0,0.3752,0,0,True,1,0,30,,strict no-fallback: direct AI assignment did not detect fault,1.1388,0.6749
16,3891,3,True,1,True,1,20,0.0101,0.0701,0.0,0.6466,1,0,True,1,0,21,,,1.2146,0.4796
17,3891,4,True,1,True,1,20,0.0122,0.07,0.0,0.6538,1,0,True,1,0,21,,,1.2158,0.472
18,3893,3,True,1,True,1,8,0.0101,0.0696,0.0,0.2437,1,0,True,1,0,9,,,0.5296,0.1984
19,3893,4,False,1,False,1,3,0.0106,0.0693,0.0,0.0698,0,0,True,1,2,14,,strict no-fallback: direct AI assignment did not detect fault,0.5286,0.3712
20,3895,3,False,1,False,1,11,0.0094,0.071,0.0,0.3453,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1621,0.7287
21,3895,4,False,1,False,1,11,0.0111,0.0705,0.0,0.3415,0,0,True,1,0,33,,strict no-fallback: direct AI assignment did not detect fault,1.1774,0.7465
22,3900,3,True,1,True,1,11,0.012,0.0693,0.0,0.317,1,0,True,1,0,12,,,0.6838,0.2774
23,3900,4,True,1,True,1,11,0.0133,0.0705,0.0,0.3209,1,0,True,1,0,12,,,0.6875,0.2738
24,3907,3,True,1,True,1,11,0.0116,0.0701,0.0,0.3161,1,0,True,1,0,12,,,0.6834,0.2775
25,3907,4,True,1,True,1,11,0.0117,0.0713,0.0,0.286,1,0,True,1,0,12,,,0.6486,0.2717
26,3913,3,False,1,False,1,48,0.032,0.0666,0.0,1.4671,0,0,False,2,296,649,,strict no-fallback: direct AI assignment did not detect fault,21.5878,20.014
27,3913,4,False,1,False,1,48,0.0317,0.0651,0.0,1.5184,0,0,False,2,304,665,,strict no-fallback: direct AI assignment did not detect fault,21.6558,20.0328
